Time,temperature,humidity,light,sound
0:0,29.0,58.1,0,37.5
0:0,29.0,58.1,0,37.3
0:0,29.1,58.1,0,37.1
0:0,29.0,58.1,0,37.1
0:0,29.0,58.1,0,37.1
0:0,29.1,58.1,0,37.1
0:0,29.0,58.2,0,37.3
0:0,29.0,58.0,0,36.7
0:0,29.1,58.1,0,37.2
0:0,29.1,58.0,0,37.3
0:0,29.0,58.1,0,37.0
0:0,29.0,58.1,0,37.2
0:0,29.1,58.1,0,37.5
0:0,29.0,58.1,0,37.2
0:1,29.0,58.1,0,37.5
0:1,29.0,58.1,0,37.1
0:1,29.0,58.2,0,36.9
0:1,29.1,58.1,0,37.2
0:1,29.1,58.2,0,37.4
0:1,29.1,58.1,0,37.5
0:1,29.1,58.1,0,37.3
0:1,29.0,58.1,0,37.3
0:1,29.1,58.1,0,37.6
0:1,29.1,58.2,0,37.2
0:1,29.0,58.1,0,37.2
0:1,29.0,58.2,0,37.3
0:1,29.0,58.2,0,36.9
0:1,29.1,58.2,0,37.3
0:1,29.0,58.1,0,37.2
0:2,29.1,58.2,0,37.5
0:2,29.0,58.2,0,37.3
0:2,29.0,58.1,0,37.4
0:2,29.1,58.1,0,37.3
0:2,29.0,58.1,0,37.5
0:2,29.1,58.2,0,37.0
0:2,29.0,58.2,0,37.4
0:2,29.0,58.1,0,37.7
0:2,29.0,58.1,0,37.3
0:2,29.0,58.1,0,37.6
0:2,29.0,58.2,0,37.2
0:2,29.0,58.2,0,37.2
0:2,29.0,58.2,0,37.5
0:2,29.1,58.1,0,37.5
0:2,29.0,58.2,0,37.7
0:3,29.0,58.2,0,37.5
0:3,29.0,58.2,0,37.6
0:3,29.0,58.1,0,37.5
0:3,29.1,58.2,0,37.3
0:3,29.1,58.1,0,37.4
0:3,29.1,58.1,0,37.7
0:3,29.0,58.2,0,37.4
0:3,29.0,58.1,0,37.5
0:3,29.0,58.3,0,36.9
0:3,29.0,58.2,0,37.2
0:3,29.0,58.1,0,37.4
0:3,29.0,58.2,0,37.4
0:3,29.0,58.1,0,37.5
0:3,29.0,58.2,0,37.1
0:3,29.0,58.2,0,37.4
0:4,29.1,58.2,0,37.5
0:4,29.0,58.1,0,37.4
0:4,29.0,58.2,0,37.4
0:4,29.0,58.2,0,37.3
0:4,29.0,58.3,0,36.9
0:4,29.0,58.3,0,37.3
0:4,29.0,58.2,0,37.7
0:4,29.0,58.2,0,37.5
0:4,29.0,58.2,0,37.7
0:4,29.0,58.1,0,37.4
0:4,29.0,58.2,0,37.4
0:4,29.0,58.1,0,37.1
0:4,29.1,58.2,0,37.2
0:4,29.0,58.2,0,37.5
0:4,29.0,58.2,0,37.2
0:5,29.1,58.2,0,37.3
0:5,29.1,58.2,0,36.8
0:5,29.0,58.2,0,37.3
0:5,29.0,58.1,0,37.6
0:5,29.0,58.1,0,37.5
0:5,29.0,58.2,0,37.7
0:5,29.0,58.1,0,37.5
0:5,29.0,58.3,0,37.4
0:5,29.1,58.2,0,37.1
0:5,29.1,58.2,0,37.3
0:5,29.0,58.2,0,37.2
0:5,29.0,58.2,0,37.4
0:5,29.0,58.1,0,37.1
0:5,29.0,58.2,0,37.6
0:5,29.0,58.2,0,37.4
0:6,29.0,58.2,0,37.4
0:6,29.1,58.2,0,37.4
0:6,29.0,58.2,0,37.1
0:6,29.0,58.2,0,37.2
0:6,29.0,58.2,0,37.6
0:6,29.0,58.2,0,38.0
0:6,29.0,58.2,0,37.4
0:6,29.0,58.2,0,37.4
0:6,29.0,58.2,0,37.0
0:6,29.0,58.2,0,37.2
0:6,29.0,58.1,0,37.5
0:6,29.1,58.2,0,37.6
0:6,29.0,58.2,0,37.4
0:6,29.0,58.2,0,37.9
0:6,29.0,58.2,0,37.5
0:7,29.0,58.1,0,37.2
0:7,29.0,58.2,0,37.5
0:7,29.0,58.2,0,37.2
0:7,29.0,58.2,0,37.3
0:7,29.0,58.1,0,37.2
0:7,29.1,58.3,0,37.4
0:7,29.0,58.3,0,37.1
0:7,29.0,58.2,0,37.0
0:7,29.0,58.2,0,37.4
0:7,29.0,58.2,0,37.4
0:7,29.0,58.2,0,37.8
0:7,29.0,58.2,0,37.8
0:7,29.0,58.3,0,37.6
0:7,29.0,58.2,0,37.2
0:7,29.0,58.3,0,37.2
0:8,29.0,58.2,0,37.3
0:8,29.0,58.3,0,37.2
0:8,29.0,58.3,0,37.2
