Time,temperature,humidity,light,sound
1:2,27.8,83.4,0,40.7
2:2,27.7,82.7,0,43.8
3:2,27.7,82.7,0,40.4
4:2,27.6,81.8,0,40.4
5:2,27.7,82.4,10,40.5
6:3,27.7,81.8,46,40.7
7:3,27.9,83.6,125,40.8
8:3,28.0,81.1,315,44.2
9:3,28.2,81.1,210,42.9
10:3,28.5,81.6,345,42.2
11:3,28.8,81.4,531,43.0
12:3,29.4,78.8,556,45.4
13:3,30.0,76.1,926,41.6
14:3,30.6,74.2,784,41.3
15:3,30.9,73.4,1021,41.2
15:22,32.1,74.8,865,45.2
15:22,32.2,73.3,3670,42.7
15:23,32.7,72.5,1088,59.9
15:23,33.0,71.6,16234,43.2
15:23,33.1,70.4,18274,42.3
15:23,33.6,68.7,21942,41.9
15:24,35.0,65.1,10132,42.9
15:25,35.4,60.6,9162,41.7
15:28,35.7,58.7,1178,42.9
15:31,36.1,60.2,1484,42.1
15:35,36.2,57.3,552,44.7
15:36,36.1,63.1,669,44.1
15:36,35.8,58.1,592,44.5
15:36,35.8,58.1,522,43.5
15:36,35.7,58.7,521,43.9
15:36,35.7,58.7,509,42.8
15:36,35.6,58.8,509,42.9
15:38,35.5,59.4,508,44.5
15:38,35.6,59.5,542,42.2
15:38,35.5,59.4,569,41.9
15:38,35.6,59.5,759,42.0
15:42,36.7,57.9,941,42.7
15:44,36.1,57.5,757,43.0
15:47,36.4,56.6,987,43.4
15:50,36.2,57.6,246,45.9
15:50,36.2,57.3,234,45.3
15:51,36.1,57.2,260,45.4
15:52,35.1,62.4,321,51.4
16:52,31.1,74.3,265,43.9
17:52,31.1,72.9,366,39.7
18:52,30.3,74.8,11,38.2
19:52,29.6,76.7,0,37.9
20:52,29.2,77.5,0,38.5
21:53,28.9,78.1,0,37.6
22:53,28.8,78.0,0,37.9
23:53,28.8,78.6,0,38.0
